X,Y,Z,constraint_1,constraint_2
2.4,1.65,624.8955,10,0.3
2.4,1.65,629.1866,12,0.3
2.4,1.65,633.5994,14,0.3
2.4,1.65,616.1539,2,0.4
2.4,1.65,619.7681,4,0.4
2.4,1.65,623.265,6,0.4
2.4,1.65,626.8733,8,0.4
2.4,1.65,630.6204,10,0.4
2.4,1.65,634.5174,12,0.4
2.4,1.65,638.8289,14,0.4
2.4,1.65,621.0008,2,0.5
2.4,1.65,624.2109,4,0.5
2.4,1.65,627.6589,6,0.5
2.4,1.65,631.0171,8,0.5
2.4,1.65,634.4929,10,0.5
2.4,1.65,638.1735,12,0.5
2.4,1.65,642.129,14,0.5
2.4,1.65,624.3103,2,0.6
2.4,1.65,627.5391,4,0.6
2.4,1.65,630.7661,6,0.6
2.4,1.65,633.8661,8,0.6
2.4,1.65,637.1585,10,0.6
2.4,1.65,640.4448,12,0.6
2.4,1.65,643.9253,14,0.6
2.4,1.65,626.4686,2,0.7
2.4,1.65,629.5411,4,0.7
2.4,1.65,632.7721,6,0.7
2.4,1.65,635.7898,8,0.7
2.4,1.65,638.7626,10,0.7
2.4,1.65,641.7388,12,0.7
2.4,1.65,644.5779,14,0.7
2.4,1.65,627.9311,2,0.8
2.4,1.65,630.7893,4,0.8
2.4,1.65,633.6803,6,0.8
2.4,1.65,636.6651,8,0.8
2.4,1.65,639.3596,10,0.8
2.4,1.65,641.8878,12,0.8
2.4,1.65,644.2742,14,0.8
2.4,1.65,628.0954,2,0.9
2.4,1.65,630.9427,4,0.9
2.4,1.65,633.7322,6,0.9
2.4,1.65,636.5157,8,0.9
2.4,1.65,639.1796,10,0.9
2.4,1.65,641.6816,12,0.9
2.4,1.65,643.9955,14,0.9
2.4,1.8,600.1328,2,0.2
2.4,1.8,604.2259,4,0.2
2.4,1.8,608.2891,6,0.2
2.4,1.8,612.2258,8,0.2
2.4,1.8,616.7886,10,0.2
2.4,1.8,621.2091,12,0.2
2.4,1.8,626.138,14,0.2
2.4,1.8,610.5272,2,0.3
2.4,1.8,614.1988,4,0.3
2.4,1.8,617.8561,6,0.3
2.4,1.8,621.2379,8,0.3
2.4,1.8,625.1732,10,0.3
2.4,1.8,629.4362,12,0.3
2.4,1.8,617.5389,2,0.4
2.4,1.8,620.9768,4,0.4
2.4,1.8,624.5246,6,0.4
2.4,1.8,628.0851,8,0.4
2.4,1.8,631.8673,10,0.4
2.4,1.8,635.6982,12,0.4
2.4,1.8,639.9254,14,0.4
2.4,1.8,622.5551,2,0.5
2.4,1.8,626.0093,4,0.5
2.4,1.8,629.3465,6,0.5
2.4,1.8,632.7803,8,0.5
2.4,1.8,636.3951,10,0.5
2.4,1.8,640.2694,12,0.5
